Date_Time_New,Value
29-12-1930,160.16
27-12-1930,160.3
26-12-1930,161.18
24-12-1930,165.2
23-12-1930,162.93
22-12-1930,162.42
20-12-1930,169.42
19-12-1930,168.99
18-12-1930,166.71
17-12-1930,165.6
16-12-1930,157.51
15-12-1930,163.34
13-12-1930,163.34
12-12-1930,168.68
11-12-1930,170.31
10-12-1930,173.98
09-12-1930,176.5
08-12-1930,176.09
06-12-1930,178.37
05-12-1930,181.11
04-12-1930,180.99
03-12-1930,184.11
02-12-1930,186.82
01-12-1930,185.48
29-11-1930,183.39
28-11-1930,180.91
26-11-1930,183.11
25-11-1930,185.47
24-11-1930,188.27
22-11-1930,188.04
21-11-1930,190.3
20-11-1930,187.09
19-11-1930,187.57
18-11-1930,183.42
17-11-1930,180.5
15-11-1930,186.68
14-11-1930,184.03
13-11-1930,180.38
12-11-1930,177.33
11-11-1930,173.3
10-11-1930,171.6
08-11-1930,173.14
07-11-1930,174.38
06-11-1930,180.72
05-11-1930,179.81
03-11-1930,185.39
01-11-1930,184.89
31-10-1930,183.35
30-10-1930,188.07
29-10-1930,190.73
28-10-1930,194.95
27-10-1930,195.09
25-10-1930,193.34
24-10-1930,195.09
23-10-1930,188.1
22-10-1930,184.98
21-10-1930,186.4
20-10-1930,193.32
18-10-1930,185.29
17-10-1930,187.37
16-10-1930,196.62
15-10-1930,200.26
14-10-1930,196.7
11-10-1930,193.05
10-10-1930,198.5
09-10-1930,192.0
08-10-1930,200.56
07-10-1930,203.62
06-10-1930,202.76
04-10-1930,211.1
03-10-1930,214.18
02-10-1930,211.04
01-10-1930,214.14
30-09-1930,204.9
29-09-1930,208.14
27-09-1930,212.52
26-09-1930,213.27
25-09-1930,217.75
24-09-1930,222.1
23-09-1930,226.75
22-09-1930,222.78
20-09-1930,229.85
19-09-1930,229.02
18-09-1930,234.18
17-09-1930,237.74
16-09-1930,237.22
15-09-1930,236.62
13-09-1930,240.34
12-09-1930,241.17
11-09-1930,242.88
10-09-1930,245.09
09-09-1930,244.29
08-09-1930,242.84
06-09-1930,243.64
05-09-1930,240.37
04-09-1930,236.04
03-09-1930,237.54
02-09-1930,240.42
29-08-1930,240.42
28-08-1930,237.79
27-08-1930,237.93
26-08-1930,235.47
25-08-1930,231.52
23-08-1930,234.42
22-08-1930,232.63
21-08-1930,231.27
20-08-1930,232.98
19-08-1930,230.68
18-08-1930,227.79
16-08-1930,228.02
15-08-1930,228.55
14-08-1930,221.08
13-08-1930,220.35
12-08-1930,217.24
11-08-1930,224.13
09-08-1930,222.59
08-08-1930,222.82
07-08-1930,232.69
06-08-1930,234.38
05-08-1930,238.47
04-08-1930,238.16
02-08-1930,234.5
01-08-1930,233.57
31-07-1930,233.99
30-07-1930,231.08
29-07-1930,238.4
28-07-1930,240.81
26-07-1930,240.31
25-07-1930,237.48
24-07-1930,235.51
23-07-1930,239.33
22-07-1930,234.3
21-07-1930,229.29
19-07-1930,236.65
18-07-1930,240.57
17-07-1930,239.07
16-07-1930,235.63
15-07-1930,233.79
14-07-1930,234.21
12-07-1930,229.23
11-07-1930,224.86
10-07-1930,227.39
09-07-1930,222.04
08-07-1930,219.08
07-07-1930,218.33
03-07-1930,222.46
02-07-1930,225.25
01-07-1930,223.03
30-06-1930,226.34
28-06-1930,219.12
27-06-1930,218.78
26-06-1930,220.58
25-06-1930,215.58
24-06-1930,211.84
23-06-1930,219.58
21-06-1930,215.3
20-06-1930,221.92
19-06-1930,228.97
18-06-1930,218.84
17-06-1930,228.57
16-06-1930,230.05
14-06-1930,244.25
13-06-1930,249.69
12-06-1930,247.18
11-06-1930,249.08
10-06-1930,257.29
09-06-1930,250.78
07-06-1930,257.82
06-06-1930,263.93
05-06-1930,268.59
04-06-1930,272.44
03-06-1930,271.18
02-06-1930,274.45
29-05-1930,275.07
28-05-1930,273.84
27-05-1930,272.43
26-05-1930,272.14
24-05-1930,271.33
23-05-1930,270.01
22-05-1930,266.89
21-05-1930,265.52
20-05-1930,267.1
19-05-1930,265.87
17-05-1930,272.41
16-05-1930,271.52
15-05-1930,269.91
14-05-1930,274.4
13-05-1930,274.17
12-05-1930,270.16
10-05-1930,272.01
09-05-1930,267.29
08-05-1930,263.93
07-05-1930,263.69
06-05-1930,268.81
05-05-1930,259.68
03-05-1930,258.31
02-05-1930,266.56
01-05-1930,274.59
30-04-1930,279.23
29-04-1930,278.43
28-04-1930,276.94
26-04-1930,285.46
25-04-1930,285.76
24-04-1930,286.18
23-04-1930,288.78
22-04-1930,290.01
21-04-1930,288.23
17-04-1930,294.07
16-04-1930,292.2
15-04-1930,293.26
14-04-1930,293.18
12-04-1930,293.43
11-04-1930,292.65
10-04-1930,292.19
09-04-1930,291.15
08-04-1930,288.36
07-04-1930,290.19
05-04-1930,289.96
04-04-1930,288.35
03-04-1930,285.77
02-04-1930,285.27
01-04-1930,287.11
31-03-1930,286.1
29-03-1930,286.19
28-03-1930,283.85
27-03-1930,281.63
26-03-1930,283.22
25-03-1930,280.5
24-03-1930,279.11
22-03-1930,276.43
21-03-1930,280.55
20-03-1930,279.41
19-03-1930,277.88
18-03-1930,277.27
17-03-1930,274.26
15-03-1930,270.25
14-03-1930,271.34
13-03-1930,273.47
12-03-1930,272.13
11-03-1930,276.25
10-03-1930,276.85
08-03-1930,275.46
07-03-1930,275.57
06-03-1930,274.51
05-03-1930,270.59
04-03-1930,273.51
03-03-1930,271.11
01-03-1930,273.24
28-02-1930,271.11
27-02-1930,269.39
26-02-1930,269.06
25-02-1930,262.8
24-02-1930,262.47
21-02-1930,265.81
20-02-1930,263.41
19-02-1930,268.46
18-02-1930,270.73
17-02-1930,270.54
15-02-1930,269.25
14-02-1930,271.52
13-02-1930,272.27
11-02-1930,271.05
10-02-1930,268.56
08-02-1930,269.78
07-02-1930,267.82
06-02-1930,268.56
05-02-1930,272.06
04-02-1930,268.48
03-02-1930,266.54
01-02-1930,268.41
31-01-1930,267.14
30-01-1930,263.28
29-01-1930,262.18
28-01-1930,257.9
27-01-1930,260.93
25-01-1930,259.06
24-01-1930,256.31
23-01-1930,253.52
22-01-1930,250.19
21-01-1930,249.58
20-01-1930,247.31
18-01-1930,246.84
17-01-1930,246.33
16-01-1930,248.99
15-01-1930,251.54
14-01-1930,250.44
13-01-1930,249.62
11-01-1930,248.71
10-01-1930,250.03
09-01-1930,249.68
08-01-1930,245.7
07-01-1930,246.5
06-01-1930,248.1
04-01-1930,248.85
03-01-1930,247.19
02-01-1930,244.2
31-12-1929,248.48
30-12-1929,241.06
28-12-1929,238.43
27-12-1929,240.66
26-12-1929,240.96
24-12-1929,234.07
23-12-1929,232.65
21-12-1929,235.42
20-12-1929,230.89
19-12-1929,240.42
18-12-1929,246.84
17-12-1929,249.58
16-12-1929,245.88
14-12-1929,253.02
13-12-1929,249.6
12-12-1929,243.14
11-12-1929,258.44
10-12-1929,262.2
09-12-1929,259.18
07-12-1929,263.46
06-12-1929,260.12
05-12-1929,251.51
04-12-1929,254.64
03-12-1929,249.61
02-12-1929,241.7
27-11-1929,238.95
26-11-1929,235.35
25-11-1929,243.44
22-11-1929,245.74
21-11-1929,248.49
20-11-1929,241.23
19-11-1929,234.02
18-11-1929,227.56
15-11-1929,228.73
14-11-1929,217.28
13-11-1929,198.69
12-11-1929,209.74
11-11-1929,220.39
08-11-1929,236.53
07-11-1929,238.19
06-11-1929,232.13
04-11-1929,257.68
31-10-1929,273.51
30-10-1929,258.47
29-10-1929,230.07
28-10-1929,260.64
26-10-1929,298.97
25-10-1929,301.22
24-10-1929,299.47
23-10-1929,305.85
22-10-1929,326.51
21-10-1929,320.91
19-10-1929,323.87
18-10-1929,333.29
17-10-1929,341.86
16-10-1929,336.13
15-10-1929,347.24
14-10-1929,350.97
11-10-1929,352.69
10-10-1929,352.86
09-10-1929,346.66
08-10-1929,345.0
07-10-1929,345.72
05-10-1929,341.36
04-10-1929,325.17
03-10-1929,329.95
02-10-1929,344.5
01-10-1929,342.57
30-09-1929,343.45
28-09-1929,347.17
27-09-1929,344.87
26-09-1929,355.95
25-09-1929,352.57
24-09-1929,352.61
23-09-1929,359.0
21-09-1929,361.16
20-09-1929,362.05
19-09-1929,369.97
18-09-1929,370.9
17-09-1929,368.52
16-09-1929,372.39
14-09-1929,367.01
13-09-1929,366.85
12-09-1929,366.35
11-09-1929,370.91
10-09-1929,367.29
09-09-1929,374.93
07-09-1929,377.56
06-09-1929,376.29
05-09-1929,369.77
04-09-1929,379.61
03-09-1929,381.17
30-08-1929,380.33
29-08-1929,376.18
28-08-1929,372.06
27-08-1929,373.79
26-08-1929,374.46
24-08-1929,375.44
23-08-1929,374.61
22-08-1929,369.95
21-08-1929,365.55
20-08-1929,367.67
19-08-1929,365.2
17-08-1929,360.7
16-08-1929,361.49
15-08-1929,354.42
14-08-1929,354.86
13-08-1929,354.03
12-08-1929,351.13
10-08-1929,344.84
09-08-1929,337.99
08-08-1929,352.1
07-08-1929,348.44
06-08-1929,351.39
05-08-1929,352.5
03-08-1929,355.62
02-08-1929,353.08
01-08-1929,350.56
31-07-1929,347.7
30-07-1929,343.12
29-07-1929,339.21
27-07-1929,343.73
26-07-1929,345.47
25-07-1929,344.67
24-07-1929,343.04
23-07-1929,345.48
22-07-1929,341.37
20-07-1929,345.87
19-07-1929,345.2
18-07-1929,344.59
17-07-1929,345.63
16-07-1929,344.24
15-07-1929,341.93
13-07-1929,345.94
12-07-1929,346.37
11-07-1929,343.04
10-07-1929,343.3
09-07-1929,345.57
08-07-1929,346.55
06-07-1929,344.66
05-07-1929,344.27
03-07-1929,341.99
02-07-1929,340.28
01-07-1929,335.22
29-06-1929,333.79
28-06-1929,331.65
27-06-1929,328.91
26-06-1929,328.6
25-06-1929,326.16
24-06-1929,321.15
22-06-1929,322.23
21-06-1929,320.68
20-06-1929,317.73
19-06-1929,316.41
18-06-1929,319.67
17-06-1929,319.33
15-06-1929,314.26
14-06-1929,313.68
13-06-1929,313.05
12-06-1929,306.68
11-06-1929,306.64
10-06-1929,303.27
08-06-1929,305.12
07-06-1929,307.46
06-06-1929,307.72
05-06-1929,307.68
04-06-1929,310.57
03-06-1929,304.2
01-06-1929,299.12
31-05-1929,297.41
29-05-1929,296.76
28-05-1929,298.87
27-05-1929,293.42
25-05-1929,304.33
24-05-1929,305.64
23-05-1929,308.09
22-05-1929,300.83
21-05-1929,314.09
20-05-1929,312.7
18-05-1929,321.48
17-05-1929,321.38
16-05-1929,320.09
15-05-1929,319.35
14-05-1929,320.79
13-05-1929,316.49
11-05-1929,324.59
10-05-1929,325.7
09-05-1929,321.17
08-05-1929,323.51
07-05-1929,321.91
06-05-1929,326.16
04-05-1929,327.08
03-05-1929,325.56
02-05-1929,321.52
01-05-1929,320.13
30-04-1929,319.29
29-04-1929,313.84
27-04-1929,315.68
26-04-1929,314.15
25-04-1929,314.28
24-04-1929,315.66
23-04-1929,316.62
22-04-1929,315.33
20-04-1929,311.07
19-04-1929,310.58
18-04-1929,311.87
17-04-1929,309.91
16-04-1929,304.19
15-04-1929,302.43
13-04-1929,304.41
12-04-1929,305.43
11-04-1929,304.09
10-04-1929,300.67
09-04-1929,299.13
08-04-1929,301.49
06-04-1929,302.81
05-04-1929,303.04
04-04-1929,305.37
03-04-1929,300.35
02-04-1929,303.49
01-04-1929,300.4
28-03-1929,308.85
27-03-1929,303.22
26-03-1929,296.51
25-03-1929,297.5
23-03-1929,306.21
22-03-1929,310.26
21-03-1929,314.63
20-03-1929,316.44
19-03-1929,317.53
18-03-1929,317.59
16-03-1929,320.0
15-03-1929,319.7
14-03-1929,316.26
13-03-1929,310.29
12-03-1929,306.14
11-03-1929,305.75
09-03-1929,311.61
08-03-1929,311.59
07-03-1929,308.99
06-03-1929,305.2
05-03-1929,310.2
04-03-1929,313.86
02-03-1929,319.12
01-03-1929,321.18
28-02-1929,317.41
27-02-1929,314.53
26-02-1929,311.25
25-02-1929,311.24
21-02-1929,310.06
20-02-1929,305.99
19-02-1929,301.1
18-02-1929,300.74
16-02-1929,295.85
15-02-1929,300.41
14-02-1929,306.49
13-02-1929,308.07
11-02-1929,310.35
08-02-1929,301.53
07-02-1929,305.75
06-02-1929,317.18
05-02-1929,322.06
04-02-1929,319.05
02-02-1929,319.76
01-02-1929,319.68
31-01-1929,317.51
30-01-1929,312.6
29-01-1929,312.6
28-01-1929,314.04
26-01-1929,314.56
25-01-1929,315.13
24-01-1929,309.39
23-01-1929,310.33
22-01-1929,307.06
21-01-1929,304.64
19-01-1929,305.96
18-01-1929,304.14
17-01-1929,303.95
16-01-1929,302.66
15-01-1929,297.66
14-01-1929,304.06
12-01-1929,301.25
11-01-1929,301.66
10-01-1929,301.58
09-01-1929,300.83
08-01-1929,296.98
07-01-1929,297.7
05-01-1929,302.43
04-01-1929,304.75
03-01-1929,305.72
02-01-1929,307.01
31-12-1928,300.0
29-12-1928,297.28
28-12-1928,296.52
27-12-1928,290.95
26-12-1928,286.13
24-12-1928,287.89
22-12-1928,285.94
21-12-1928,286.53
20-12-1928,282.01
19-12-1928,280.5
18-12-1928,275.42
17-12-1928,270.23
15-12-1928,270.72
14-12-1928,272.26
13-12-1928,266.88
12-12-1928,266.82
11-12-1928,269.34
10-12-1928,263.95
08-12-1928,257.33
07-12-1928,271.05
06-12-1928,279.79
