Date,XBT,BTC,D,ETH,IOT,LTC,M,XRP
2013-04-28,134.21,,,,,4.35,,
2013-04-29,144.54,,,,,4.38,,
2013-04-30,139.0,,,,,4.3,,
2013-05-01,116.99,,,,,3.8,,
2013-05-02,105.21,,,,,3.37,,
2013-05-03,97.75,,,,,3.04,,
2013-05-04,112.5,,,,,3.48,,
2013-05-05,115.91,,,,,3.59,,
2013-05-06,112.3,,,,,3.37,,
2013-05-07,111.5,,,,,3.33,,
2013-05-08,113.57,,,,,3.41,,
2013-05-09,112.67,,,,,3.42,,
2013-05-10,117.2,,,,,3.44,,
2013-05-11,115.24,,,,,3.35,,
2013-05-12,115.0,,,,,3.27,,
2013-05-13,117.98,,,,,3.28,,
2013-05-14,111.5,,,,,2.82,,
2013-05-15,114.22,,,,,2.94,,
2013-05-16,118.76,,,,,2.92,,
2013-05-17,123.02,,,,,3.19,,
2013-05-18,123.5,,,,,3.29,,
2013-05-19,121.99,,,,,3.3,,
2013-05-20,122.0,,,,,3.18,,
2013-05-21,122.88,,,,,3.09,,
2013-05-22,123.89,,,,,3.12,,
2013-05-23,126.7,,,,,3.18,,
2013-05-24,133.2,,,,,3.18,,
2013-05-25,131.98,,,,,3.12,,
2013-05-26,133.48,,,,,3.25,,
2013-05-27,129.75,,,,,3.1,,
2013-05-28,129.0,,,,,3.09,,
2013-05-29,132.3,,,,,3.1,,
2013-05-30,128.8,,,,,2.97,,
2013-05-31,129.0,,,,,2.96,,
2013-06-01,129.3,,,,,2.83,,
2013-06-02,122.29,,,,,2.73,,
2013-06-03,122.22,,,,,2.73,,
2013-06-04,121.42,,,,,2.87,,
2013-06-05,121.65,,,,,2.86,,
2013-06-06,118.0,,,,,2.75,,
2013-06-07,111.5,,,,,2.6,,
2013-06-08,108.3,,,,,2.56,,
2013-06-09,100.0,,,,,2.38,,
2013-06-10,106.35,,,,,2.49,,
2013-06-11,108.9,,,,,2.4,,
2013-06-12,108.15,,,,,2.38,,
2013-06-13,104.0,,,,,2.27,,
2013-06-14,99.98,,,,,2.13,,
2013-06-15,99.99,,,,,2.11,,
2013-06-16,99.51,,,,,2.13,,
2013-06-17,101.7,,,,,2.28,,
2013-06-18,107.4,,,,,2.31,,
2013-06-19,108.25,,,,,2.3,,
2013-06-20,110.15,,,,,2.29,,
2013-06-21,109.5,,,,,2.87,,
2013-06-22,108.3,,,,,2.92,,
2013-06-23,107.6,,,,,3.12,,
2013-06-24,102.74,,,,,2.87,,
2013-06-25,103.95,,,,,2.82,,
2013-06-26,104.0,,,,,2.86,,
2013-06-27,101.44,,,,,3.02,,
2013-06-28,94.65,,,,,2.75,,
2013-06-29,94.99,,,,,2.79,,
2013-06-30,96.61,,,,,2.98,,
2013-07-01,88.05,,,,,2.95,,
2013-07-02,90.13,,,,,2.83,,
2013-07-03,77.53,,,,,2.62,,
2013-07-04,80.53,,,,,2.73,,
2013-07-05,68.43,,,,,2.43,,
2013-07-06,70.28,,,,,2.52,,
2013-07-07,74.56,,,,,2.66,,
2013-07-08,76.52,,,,,2.61,,
2013-07-09,76.69,,,,,2.61,,
2013-07-10,86.76,,,,,2.81,,
2013-07-11,88.98,,,,,2.73,,
2013-07-12,93.59,,,,,2.79,,
2013-07-13,98.13,,,,,2.9,,
2013-07-14,94.69,,,,,2.91,,
2013-07-15,98.4,,,,,2.98,,
2013-07-16,97.45,,,,,3.1,,
2013-07-17,98.5,,,,,3.15,,
2013-07-18,90.58,,,,,2.89,,
2013-07-19,92.17,,,,,2.96,,
2013-07-20,89.39,,,,,2.86,,
2013-07-21,90.76,,,,,2.92,,
2013-07-22,91.61,,,,,2.89,,
2013-07-23,95.56,,,,,2.99,,
2013-07-24,94.51,,,,,2.94,,
2013-07-25,96.9,,,,,2.97,,
2013-07-26,96.02,,,,,2.9,,
2013-07-27,94.12,,,,,2.88,,
2013-07-28,99.76,,,,,2.98,,
2013-07-29,101.2,,,,,2.96,,
2013-07-30,107.99,,,,,2.99,,
2013-07-31,106.09,,,,,2.87,,
2013-08-01,104.0,,,,,2.91,,
2013-08-02,104.5,,,,,2.84,,
2013-08-03,104.0,,,,,2.96,,
2013-08-04,105.14,,,,,3.01,,0.005882
2013-08-05,106.22,,,,,2.83,,0.005613
2013-08-06,106.75,,,,,2.82,,0.00468
2013-08-07,106.75,,,,,2.76,,0.004417
2013-08-08,103.0,,,,,2.7,,0.004254
2013-08-09,102.8,,,,,2.68,,0.004291
2013-08-10,103.0,,,,,2.56,,0.004314
2013-08-11,105.0,,,,,2.69,,0.004415
2013-08-12,106.64,,,,,2.65,,0.004449
2013-08-13,109.0,,,,,2.74,,0.0042450000000000005
2013-08-14,112.56,,,,,2.73,,0.003788
2013-08-15,109.99,,,,,2.76,,0.003092
2013-08-16,108.99,,,,,2.72,,0.003134
2013-08-17,113.5,,,,,2.82,,0.005671
2013-08-18,113.5,,,,,2.8,,0.0056170000000000005
2013-08-19,119.0,,,,,2.82,,0.00526
2013-08-20,121.2,,,,,2.78,,0.006097999999999999
2013-08-21,123.3,,,,,2.7,,0.006131
2013-08-22,121.15,,,,,2.75,,0.005143
2013-08-23,118.5,,,,,2.72,,0.005139
2013-08-24,120.05,,,,,2.69,,0.005546
2013-08-25,122.11,,,,,2.59,,0.006104
2013-08-26,120.06,,,,,2.57,,0.006417
2013-08-27,126.5,,,,,2.57,,0.006451999999999999
2013-08-28,122.62,,,,,2.52,,0.006246
2013-08-29,122.39,,,,,2.55,,0.005763
2013-08-30,133.49,,,,,2.66,,0.0059299999999999995
2013-08-31,135.35,,,,,2.58,,0.005632
2013-09-01,138.34,,,,,2.58,,0.005787
2013-09-02,135.85,,,,,2.56,,0.005528
2013-09-03,136.77,,,,,2.6,,0.0056700000000000006
2013-09-04,126.74,,,,,2.81,,0.005695
2013-09-05,126.43,,,,,2.75,,0.005715
2013-09-06,119.15,,,,,2.69,,0.005866
2013-09-07,124.15,,,,,2.71,,0.006173
2013-09-08,121.66,,,,,2.73,,0.006183
2013-09-09,127.11,,,,,2.73,,0.00627
2013-09-10,125.91,,,,,2.64,,0.005808
2013-09-11,135.25,,,,,2.72,,0.006273
2013-09-12,133.13,,,,,2.7,,0.0063490000000000005
2013-09-13,134.98,,,,,2.67,,0.006513
2013-09-14,129.22,,,,,2.54,,0.00634
2013-09-15,130.37,,,,,2.64,,0.0064719999999999995
2013-09-16,131.72,,,,,2.63,,0.007056000000000001
2013-09-17,131.66,,,,,2.6,,0.009613
2013-09-18,131.47,,,,,2.56,,0.010782
2013-09-19,129.65,,,,,2.62,,0.010957999999999999
2013-09-20,127.04,,,,,2.48,,0.010112999999999999
2013-09-21,127.43,,,,,2.51,,0.0097
2013-09-22,129.12,,,,,2.53,,0.010406
2013-09-23,125.95,,,,,2.47,,0.010008
2013-09-24,127.25,,,,,2.47,,0.010448
2013-09-25,128.22,,,,,2.37,,0.010433
2013-09-26,128.38,,,,,2.39,,0.011713
2013-09-27,133.78,,,,,2.4,,0.014565999999999999
2013-09-28,134.78,,,,,2.25,,0.013835
2013-09-29,137.34,,,,,2.3,,0.012868000000000001
2013-09-30,133.0,,,,,2.35,,0.010931999999999999
2013-10-01,132.18,,,,,2.42,,0.010529
2013-10-02,114.13,,,,,1.97,,0.007862000000000001
2013-10-03,123.63,,,,,2.17,,0.009112
2013-10-04,129.01,,,,,2.2,,0.009873
2013-10-05,128.55,,,,,2.15,,0.009488
2013-10-06,129.0,,,,,2.17,,0.009819
2013-10-07,126.94,,,,,2.1,,0.00924
2013-10-08,126.0,,,,,1.98,,0.009451000000000001
2013-10-09,130.69,,,,,1.92,,0.009663
2013-10-10,130.59,,,,,2.03,,0.009861
2013-10-11,130.9,,,,,2.07,,0.00897
2013-10-12,135.19,,,,,2.12,,0.009382
2013-10-13,138.13,,,,,2.13,,0.008412000000000001
2013-10-14,140.52,,,,,2.05,,0.008489
2013-10-15,145.24,,,,,1.96,,0.008051
2013-10-16,142.55,,,,,1.92,,0.007305
2013-10-17,146.25,,,,,1.91,,0.008343000000000001
2013-10-18,155.96,,,,,1.9,,0.007942
2013-10-19,172.42,,,,,1.88,,0.007252
2013-10-20,174.61,,,,,1.93,,0.0067
2013-10-21,182.21,,,,,1.82,,0.006634
2013-10-22,193.76,,,,,1.7,,0.006845
2013-10-23,213.62,,,,,2.05,,0.007873
2013-10-24,198.23,,,,,2.27,,0.008596
2013-10-25,186.69,,,,,2.18,,0.00686
2013-10-26,177.32,,,,,2.21,,0.006064
2013-10-27,196.44,,,,,2.13,,0.006842
2013-10-28,198.55,,,,,2.18,,0.005942
2013-10-29,204.39,,,,,2.13,,0.005998
2013-10-30,199.97,,,,,2.29,,0.005854
2013-10-31,204.0,,,,,2.36,,0.006072999999999999
2013-11-01,206.18,,,,,2.45,,0.006353
2013-11-02,206.22,,,,,2.7,,0.006814
2013-11-03,215.05,,,,,2.88,,0.00716
2013-11-04,229.1,,,,,3.08,,0.007011
2013-11-05,245.24,,,,,3.04,,0.00715
2013-11-06,262.5,,,,,3.39,,0.007776000000000001
2013-11-07,296.41,,,,,4.39,,0.008939
2013-11-08,338.11,,,,,4.61,,0.010722
2013-11-09,339.11,,,,,4.22,,0.008653000000000001
2013-11-10,326.62,,,,,3.93,,0.008609
2013-11-11,342.44,,,,,4.0,,0.008681
2013-11-12,360.33,,,,,3.98,,0.009557
2013-11-13,407.37,,,,,4.11,,0.010846
2013-11-14,420.2,,,,,4.29,,0.009646
2013-11-15,417.95,,,,,4.21,,0.009685
2013-11-16,440.22,,,,,4.3,,0.01014
2013-11-17,492.11,,,,,4.09,,0.010209000000000001
2013-11-18,703.56,,,,,9.37,,0.010918
2013-11-19,584.61,,,,,8.03,,0.007225
2013-11-20,590.83,,,,,7.98,,0.0074670000000000005
2013-11-21,722.43,,,,,9.35,,0.009935
2013-11-22,771.44,,,,,10.13,,0.009717
2013-11-23,797.82,,,,,10.61,,0.009798000000000001
2013-11-24,774.25,,,,,10.41,,0.011668000000000001
2013-11-25,799.11,,,,,12.27,,0.018208000000000002
2013-11-26,928.1,,,,,20.35,,0.029913
2013-11-27,1001.96,,,,,39.04,,0.024096
2013-11-28,1031.95,,,,,43.39,,0.028981
2013-11-29,1131.97,,,,,37.74,,0.030986
2013-11-30,1129.43,,,,,40.47,,0.038386
2013-12-01,955.85,,,,,34.74,,0.051497
2013-12-02,1043.33,,,,,33.18,,0.055251999999999996
2013-12-03,1078.28,,,,,39.79,,0.048672
2013-12-04,1151.17,,,,,44.73,,0.058691999999999994
2013-12-05,1045.11,,,,,37.75,,0.055153
2013-12-06,829.45,,,,,29.84,,0.042211
2013-12-07,698.23,,,,,23.29,,0.033066000000000005
2013-12-08,795.87,,,,,27.27,,0.036456
2013-12-09,893.19,,,,,31.57,,0.03893
2013-12-10,988.51,,,,,36.29,,0.043784
2013-12-11,878.48,,,,,30.98,,0.037937
2013-12-12,873.26,,,,,31.59,,0.03465
2013-12-13,892.58,,,,,31.2,,0.035144999999999996
